id;labels
59401;Zooming In With Full Hand
27115;Swiping Right
134464;Swiping Right
102132;Thumb Down
78260;Zooming Out With Full Hand
31427;Swiping Left
107292;Zooming Out With Full Hand
107908;No gesture
7888;No gesture
46834;Zooming Out With Full Hand
108604;No gesture
10936;Zooming In With Full Hand
38290;Thumb Down
47375;Swiping Left
132131;Swiping Right
123228;No gesture
102232;Thumb Down
142067;Zooming In With Full Hand
95179;Thumb Down
17879;Swiping Right
141120;Swiping Right
62510;Zooming In With Full Hand
64355;Thumb Up
28624;Thumb Down
74581;Swiping Left
20361;Zooming Out With Full Hand
31044;Thumb Up
128362;Zooming In With Full Hand
99901;No gesture
2925;Thumb Down
25695;Swiping Left
58915;No gesture
29663;Zooming Out With Full Hand
75935;No gesture
85551;Thumb Up
112877;No gesture
18793;Swiping Left
124913;Zooming In With Full Hand
35489;Zooming Out With Full Hand
45501;Thumb Down
39776;Swiping Right
64929;Thumb Down
102057;Zooming Out With Full Hand
136411;Zooming Out With Full Hand
127323;Swiping Right
19897;Zooming In With Full Hand
108277;Zooming Out With Full Hand
46961;Zooming In With Full Hand
74703;Thumb Down
132944;No gesture
105074;Thumb Down
18605;Thumb Down
73339;Swiping Left
81247;Swiping Left
140478;Thumb Down
103552;Swiping Right
66197;Zooming Out With Full Hand
129551;Thumb Up
75715;Zooming In With Full Hand
21651;No gesture
116755;No gesture
70255;No gesture
83196;No gesture
128814;Swiping Left
15425;Thumb Down
118025;Thumb Down
111276;Zooming Out With Full Hand
30677;No gesture
143634;Swiping Right
80704;Thumb Up
103755;Zooming In With Full Hand
69661;Thumb Down
146147;Thumb Up
88183;No gesture
116423;Thumb Down
19913;Zooming In With Full Hand
123281;Thumb Down
111059;Thumb Down
35328;Swiping Left
80879;Zooming Out With Full Hand
105097;Zooming Out With Full Hand
3893;Thumb Up
124641;Zooming Out With Full Hand
124730;Swiping Right
110196;No gesture
77134;Zooming In With Full Hand
72099;Zooming In With Full Hand
15885;Swiping Right
105217;Thumb Down
26965;Swiping Left
137079;Thumb Up
94388;Zooming Out With Full Hand
64309;Swiping Right
99523;Swiping Right
44725;Thumb Up
11245;No gesture
83011;Swiping Left
120462;Zooming In With Full Hand
110991;Swiping Left
31678;Swiping Left
110172;Zooming In With Full Hand
41782;Zooming Out With Full Hand
125128;Swiping Left
107174;Swiping Left
15452;Thumb Down
70810;No gesture
89599;Swiping Left
53248;Zooming In With Full Hand
109709;Thumb Down
84909;Swiping Right
28689;Swiping Right
41712;No gesture
22596;No gesture
58519;Zooming Out With Full Hand
138490;Zooming In With Full Hand
84500;Thumb Down
95980;No gesture
41111;Thumb Up
128711;Thumb Down
115331;Zooming Out With Full Hand
43311;Thumb Down
58647;Zooming In With Full Hand
128383;Thumb Down
131247;Thumb Down
116749;Thumb Down
134283;Swiping Left
39779;Swiping Right
139853;Zooming In With Full Hand
102688;Thumb Down
9028;Swiping Right
130015;Swiping Right
89023;Thumb Up
7261;Zooming Out With Full Hand
74543;No gesture
13676;Thumb Down
84163;Zooming In With Full Hand
46959;Thumb Up
121502;Swiping Left
73240;No gesture
63725;Swiping Left
12100;Thumb Up
26502;Zooming In With Full Hand
80625;Thumb Down
94110;Swiping Left
6939;Swiping Left
99853;Swiping Right
51241;Swiping Right
3415;Swiping Left
131724;Swiping Right
67746;Zooming In With Full Hand
94156;Swiping Left
43619;Thumb Down
4158;Thumb Up
10095;Zooming In With Full Hand
126394;Thumb Up
82983;Zooming In With Full Hand
115430;Swiping Left
88341;No gesture
56259;Zooming In With Full Hand
113893;Zooming Out With Full Hand
56854;Thumb Up
28188;Thumb Down
102762;Zooming In With Full Hand
38648;Zooming In With Full Hand
34741;Swiping Right
100783;Thumb Down
69615;Zooming In With Full Hand
76154;Zooming In With Full Hand
21514;No gesture
109746;Zooming In With Full Hand
132499;Thumb Down
8975;Zooming Out With Full Hand
53163;Zooming Out With Full Hand
110279;No gesture
82106;Thumb Up
1050;Swiping Right
127114;Swiping Left
59926;Thumb Down
67258;Thumb Up
80584;Swiping Left
133606;Thumb Up
127865;No gesture
58969;Thumb Up
105702;No gesture
144857;Zooming In With Full Hand
3653;Thumb Up
75958;Swiping Left
134073;Thumb Down
60730;Thumb Up
37791;Zooming Out With Full Hand
113181;Zooming In With Full Hand
147445;Swiping Right
54923;Swiping Right
61391;Swiping Left
6130;Thumb Down
1928;Thumb Down
36426;Thumb Up
41907;Zooming In With Full Hand
63220;Thumb Up
40192;Thumb Down
79266;Swiping Left
75736;Zooming In With Full Hand
122776;Swiping Right
92478;Swiping Right
115494;Thumb Up
72849;Swiping Left
56763;Swiping Left
127588;Zooming Out With Full Hand
120293;Thumb Down
32023;Thumb Up
142300;Thumb Down
66357;Zooming Out With Full Hand
98204;Zooming In With Full Hand
67057;Swiping Left
84854;Zooming Out With Full Hand
19818;Swiping Right
66193;Thumb Up
125226;Zooming Out With Full Hand
87984;Swiping Right
40792;No gesture
122283;Swiping Left
41529;Thumb Down
36073;Swiping Right
15660;Swiping Right
75633;Zooming Out With Full Hand
114756;Thumb Down
122790;Thumb Down
81649;Thumb Up
57543;Thumb Down
42974;Zooming In With Full Hand
97694;Swiping Right
49369;Zooming Out With Full Hand
67688;Thumb Down
29690;Swiping Left
111254;No gesture
23159;Zooming Out With Full Hand
56737;Swiping Right
72152;Thumb Down
125080;Thumb Up
114611;Thumb Up
76482;Swiping Right
2301;No gesture
49491;Thumb Up
50747;Swiping Left
136491;Thumb Down
123349;No gesture
120016;No gesture
130600;Zooming Out With Full Hand
125382;Thumb Up
17258;Zooming In With Full Hand
29205;Swiping Left
26778;No gesture
77839;Zooming Out With Full Hand
112204;Zooming Out With Full Hand
51752;Swiping Right
122831;No gesture
72356;Zooming In With Full Hand
63820;Zooming Out With Full Hand
138188;No gesture
144236;Swiping Left
73314;Zooming In With Full Hand
86027;Zooming Out With Full Hand
89507;Swiping Left
140686;Thumb Up
73173;Swiping Left
56434;Thumb Down
141398;Swiping Left
139068;Thumb Down
16410;Swiping Left
39606;Zooming In With Full Hand
51064;Swiping Left
35080;No gesture
59550;Thumb Down
77583;Swiping Right
127255;Swiping Left
138814;Swiping Right
99858;Zooming In With Full Hand
128219;Swiping Left
36559;Zooming Out With Full Hand
38901;Thumb Up
17090;Thumb Up
143612;Thumb Down
129358;Swiping Right
143911;Thumb Down
64265;Zooming In With Full Hand
139403;Swiping Right
147697;Thumb Down
109921;Swiping Right
143101;Swiping Right
51521;Swiping Left
75915;Zooming Out With Full Hand
127754;Swiping Right
133416;Thumb Down
32286;Zooming Out With Full Hand
62489;Swiping Left
11101;Thumb Down
59615;Thumb Down
118006;No gesture
110154;Swiping Left
122697;Thumb Up
87926;Swiping Right
130628;Thumb Down
38377;Swiping Left
53008;Zooming Out With Full Hand
2499;Thumb Down
102514;No gesture
76203;Thumb Up
54859;Thumb Up
138779;Swiping Right
27434;Swiping Right
17278;No gesture
142784;Thumb Up
83395;Swiping Right
93286;Thumb Up
65101;Thumb Down
29209;Zooming In With Full Hand
9540;Thumb Down
38312;Swiping Left
145868;Swiping Left
53574;Thumb Down
24379;Zooming In With Full Hand
106394;Zooming Out With Full Hand
91409;Zooming Out With Full Hand
144956;Swiping Right
64112;Swiping Right
125389;Zooming In With Full Hand
74995;Thumb Up
94131;No gesture
111641;Thumb Up
39636;Zooming In With Full Hand
137820;No gesture
24062;Zooming Out With Full Hand
21597;Thumb Up
4010;Zooming In With Full Hand
28691;Swiping Left
77220;Thumb Down
111068;Zooming Out With Full Hand
5873;Zooming In With Full Hand
106853;Thumb Up
165;Zooming Out With Full Hand
18730;Zooming Out With Full Hand
115829;Zooming Out With Full Hand
25677;Thumb Up
13343;Thumb Down
81917;Zooming Out With Full Hand
33542;Thumb Down
51781;No gesture
21957;Zooming Out With Full Hand
46928;Thumb Up
123945;Thumb Up
26202;Thumb Up
86786;Zooming Out With Full Hand
12376;Zooming Out With Full Hand
139338;Thumb Up
26902;Thumb Down
132862;Thumb Up
112777;No gesture
86;Thumb Up
22411;Zooming Out With Full Hand
43201;Thumb Up
55628;Thumb Up
4201;Swiping Right
79552;No gesture
97552;Thumb Up
39661;Zooming In With Full Hand
87990;No gesture
25583;Swiping Left
35642;Zooming Out With Full Hand
27827;Thumb Down
67654;Swiping Left
125829;Swiping Left
123666;Swiping Right
107162;Swiping Left
26004;Zooming In With Full Hand
17281;Zooming Out With Full Hand
73789;Thumb Up
90455;Thumb Down
81646;Swiping Left
89362;Swiping Left
9566;Swiping Left
55018;Zooming In With Full Hand
111192;Swiping Right
120892;Thumb Down
3121;Swiping Left
134971;Swiping Left
68451;No gesture
5380;Zooming Out With Full Hand
95478;Zooming In With Full Hand
36034;Zooming Out With Full Hand
49164;Thumb Up
93562;Zooming Out With Full Hand
81122;Thumb Up
60783;Swiping Right
77527;Thumb Up
82906;Zooming Out With Full Hand
58981;Swiping Left
116213;Thumb Up
101040;Swiping Left
105023;Zooming In With Full Hand
69062;Swiping Right
124485;Thumb Up
12484;Zooming In With Full Hand
124473;Thumb Up
58160;Thumb Down
73432;Thumb Down
20329;No gesture
138816;Swiping Left
99326;Thumb Down
60169;Swiping Right
25452;No gesture
144203;No gesture
29010;Zooming In With Full Hand
75494;Thumb Up
92242;Zooming In With Full Hand
16696;Swiping Right
33620;Thumb Down
102184;Swiping Left
115307;No gesture
70368;Swiping Left
3411;No gesture
29529;Thumb Down
94048;Zooming Out With Full Hand
143098;No gesture
106831;No gesture
96912;Swiping Right
65183;Zooming Out With Full Hand
96323;Zooming In With Full Hand
7782;Thumb Up
122632;Thumb Up
121795;Thumb Down
136113;Zooming Out With Full Hand
108463;Swiping Left
100883;Swiping Right
110074;Thumb Down
118385;Zooming Out With Full Hand
95310;Thumb Up
144263;Swiping Left
119645;No gesture
135898;Zooming Out With Full Hand
28361;No gesture
92168;Zooming Out With Full Hand
76854;Zooming In With Full Hand
100491;Thumb Down
137196;Zooming In With Full Hand
116608;Thumb Up
74288;No gesture
74553;Thumb Up
146289;Thumb Down
92568;No gesture
45615;Swiping Left
132798;Swiping Left
114874;Zooming In With Full Hand
19807;Zooming Out With Full Hand
45535;Zooming Out With Full Hand
69756;Zooming Out With Full Hand
111977;No gesture
106724;Zooming Out With Full Hand
48601;Thumb Up
115408;No gesture
111388;Thumb Down
43401;No gesture
20067;Swiping Left
92006;Thumb Up
12508;Thumb Up
120922;Zooming Out With Full Hand
119057;Thumb Down
29262;Zooming Out With Full Hand
66136;Thumb Up
76791;Swiping Right
85881;Zooming In With Full Hand
23675;Swiping Right
128284;Thumb Down
31014;Swiping Left
120622;Swiping Right
64413;Zooming In With Full Hand
81124;Swiping Left
113485;Swiping Right
72504;No gesture
44726;Swiping Left
85206;Swiping Right
91316;No gesture
72272;Zooming In With Full Hand
34821;Zooming In With Full Hand
55429;Zooming Out With Full Hand
94601;Zooming In With Full Hand
118162;Swiping Right
132585;Zooming Out With Full Hand
140424;Zooming Out With Full Hand
51151;Zooming Out With Full Hand
70393;Swiping Left
59493;No gesture
145672;Swiping Left
31101;Thumb Down
92481;No gesture
22906;Zooming Out With Full Hand
103744;No gesture
46383;Zooming In With Full Hand
142210;Zooming Out With Full Hand
51018;Thumb Up
41946;Thumb Down
68824;Swiping Left
128461;Swiping Right
28532;Zooming Out With Full Hand
30916;Thumb Down
114039;Zooming Out With Full Hand
67365;No gesture
103079;Zooming In With Full Hand
52734;No gesture
17023;Thumb Up
90878;Zooming Out With Full Hand
74560;Thumb Down
126126;No gesture
24727;Zooming In With Full Hand
8039;Zooming In With Full Hand
69562;Zooming Out With Full Hand
121377;No gesture
84040;Zooming In With Full Hand
23709;Zooming Out With Full Hand
8036;Swiping Left
81639;Zooming Out With Full Hand
80688;Swiping Right
145191;Swiping Left
127341;Swiping Right
48581;Swiping Right
141669;Swiping Right
57701;Thumb Up
10024;Thumb Up
100886;Zooming In With Full Hand
104955;Thumb Down
115223;Swiping Right
141069;Swiping Right
93734;Swiping Left
139889;Zooming Out With Full Hand
60346;Thumb Up
2316;Zooming In With Full Hand
46036;No gesture
51811;Thumb Down
11434;Thumb Up
7481;Thumb Down
95473;No gesture
121113;Zooming In With Full Hand
12463;Zooming Out With Full Hand
11866;Zooming In With Full Hand
36317;Swiping Right
45187;Zooming In With Full Hand
21080;Zooming Out With Full Hand
40072;Swiping Right
133234;Swiping Left
109299;No gesture
98991;Zooming In With Full Hand
31700;No gesture
13279;Thumb Up
116774;Thumb Down
128763;Zooming Out With Full Hand
112044;Swiping Right
14565;Thumb Up
84222;Thumb Up
126176;Zooming Out With Full Hand
40092;Zooming Out With Full Hand
136887;Zooming Out With Full Hand
131077;Thumb Up
39201;No gesture
81008;Zooming Out With Full Hand
34981;Zooming In With Full Hand
11305;Thumb Down
89350;Zooming Out With Full Hand
7542;Thumb Up
125869;Zooming Out With Full Hand
59184;Thumb Up
68155;Swiping Right
144159;No gesture
26641;Swiping Right
73455;Swiping Right
142526;Swiping Left
130376;Zooming In With Full Hand
57303;Zooming In With Full Hand
35701;No gesture
118479;Thumb Down
146740;Thumb Up
45135;Zooming In With Full Hand
67736;Zooming In With Full Hand
99707;Swiping Left
99558;Thumb Down
73304;Swiping Left
135773;No gesture
1108;Thumb Down
142736;Thumb Down
143853;Thumb Down
4173;Swiping Left
67865;No gesture
73302;Thumb Up
54493;Swiping Left
7387;No gesture
22205;Swiping Left
22827;Zooming Out With Full Hand
53982;Thumb Down
142447;Thumb Up
116135;Thumb Down
81340;Zooming Out With Full Hand
88230;Zooming Out With Full Hand
15317;Thumb Up
27084;No gesture
117724;Thumb Up
38763;Thumb Down
38190;Thumb Down
71357;Zooming In With Full Hand
71732;No gesture
43460;Zooming In With Full Hand
116222;No gesture
89563;Zooming In With Full Hand
110334;Zooming In With Full Hand
59901;Zooming In With Full Hand
94995;Thumb Down
142105;No gesture
119587;Zooming Out With Full Hand
128901;Zooming In With Full Hand
48106;Thumb Down
81705;Swiping Left
63967;No gesture
59188;Thumb Down
93547;No gesture
78950;Zooming In With Full Hand
115072;Thumb Down
18734;Zooming Out With Full Hand
37150;No gesture
110262;Zooming In With Full Hand
67043;Zooming In With Full Hand
107218;Thumb Up
87239;No gesture
106113;Zooming In With Full Hand
67486;Zooming Out With Full Hand
46291;Zooming In With Full Hand
102349;Swiping Right
69578;Thumb Down
34824;Zooming In With Full Hand
133966;Zooming In With Full Hand
72799;Thumb Up
109028;Swiping Left
51046;Swiping Right
129061;Thumb Up
76781;Swiping Right
78070;Zooming Out With Full Hand
83586;Thumb Up
100637;No gesture
45843;Thumb Up
89278;Swiping Right
87572;No gesture
51922;Swiping Left
84982;Swiping Right
1383;No gesture
97980;Swiping Left
59340;Swiping Left
109016;No gesture
82881;Zooming In With Full Hand
40914;Zooming In With Full Hand
25104;No gesture
111706;Zooming Out With Full Hand
70008;Zooming Out With Full Hand
136689;Zooming Out With Full Hand
35713;Thumb Down
27624;Thumb Up
95556;Thumb Down
122464;Zooming Out With Full Hand
114992;No gesture
12468;Thumb Down
83281;Zooming In With Full Hand
42796;Thumb Up
74046;Swiping Right
5598;Zooming Out With Full Hand
11014;Swiping Left
113770;Swiping Left
46108;Zooming Out With Full Hand
15247;Zooming In With Full Hand
91092;Swiping Left
16192;Zooming In With Full Hand
4297;Swiping Left
51315;Swiping Left
125273;Zooming Out With Full Hand
123590;Thumb Up
24435;Swiping Right
42067;No gesture
69123;Thumb Up
54435;Swiping Left
61035;Swiping Left
129514;Thumb Down
80123;Swiping Right
133794;Swiping Left
25336;Swiping Left
101660;Thumb Down
146934;Thumb Up
136118;Thumb Down
84510;No gesture
83881;Zooming In With Full Hand
68896;Zooming In With Full Hand
49690;Swiping Left
13347;Thumb Down
7664;Swiping Right
136074;No gesture
10656;No gesture
137290;Thumb Down
94458;No gesture
81061;Swiping Right
113229;Swiping Right
121949;Thumb Up
132777;Zooming In With Full Hand
33522;Zooming Out With Full Hand
128796;Zooming Out With Full Hand
38254;Zooming In With Full Hand
44736;Zooming In With Full Hand
95006;Swiping Left
73529;Zooming Out With Full Hand
25045;Thumb Down
24464;No gesture
10388;Zooming Out With Full Hand
135598;Swiping Right
93842;Zooming Out With Full Hand
53878;Zooming Out With Full Hand
146046;Zooming Out With Full Hand
25506;Swiping Right
108976;Swiping Right
138513;Zooming Out With Full Hand
86459;No gesture
37314;Zooming In With Full Hand
93206;Thumb Down
8258;Zooming In With Full Hand
29144;Thumb Up
92545;Thumb Up
54044;Zooming Out With Full Hand
30967;Swiping Right
107124;Thumb Up
99359;Swiping Left
43569;Zooming Out With Full Hand
38379;Zooming Out With Full Hand
1152;Zooming Out With Full Hand
14539;No gesture
28886;Swiping Right
48720;Swiping Left
79688;Thumb Down
93427;Zooming In With Full Hand
20154;Swiping Left
14820;Thumb Up
36636;Swiping Right
96917;Thumb Up
125596;Swiping Left
123067;Zooming In With Full Hand
38198;Swiping Right
95060;Zooming In With Full Hand
114436;No gesture
88451;Thumb Down
145147;Swiping Left
81004;Swiping Right
70668;Zooming In With Full Hand
90630;Thumb Up
12112;Thumb Up
69888;Zooming Out With Full Hand
116206;No gesture
7858;Thumb Down
103948;Thumb Up
23758;Swiping Left
9530;Zooming Out With Full Hand
12371;Swiping Left
77403;No gesture
90079;Zooming In With Full Hand
49025;Thumb Down
106652;Zooming In With Full Hand
94691;Thumb Down
143575;Zooming Out With Full Hand
104490;Zooming In With Full Hand
123791;Swiping Left
28197;No gesture
91102;Swiping Right
36102;Zooming Out With Full Hand
127573;Swiping Right
10091;Thumb Down
34935;Swiping Right
146236;Swiping Right
137326;Swiping Left
97628;Zooming Out With Full Hand
76182;Swiping Left
72367;Thumb Down
19984;Swiping Left
1467;Thumb Down
95448;Swiping Left
110523;No gesture
128502;Thumb Up
27592;Thumb Down
23811;Thumb Down
110167;No gesture
84089;Zooming In With Full Hand
104696;No gesture
70828;Zooming In With Full Hand
15243;No gesture
138842;Swiping Left
37437;Thumb Up
93234;Swiping Left
160;Thumb Down
70262;Swiping Left
31748;Thumb Up
119307;Swiping Left
70974;Thumb Down
120810;Thumb Down
108557;Zooming Out With Full Hand
116190;Zooming In With Full Hand
96426;Zooming Out With Full Hand
129542;Zooming In With Full Hand
53627;Zooming Out With Full Hand
127060;Zooming In With Full Hand
102810;Zooming In With Full Hand
106860;Thumb Down
92582;Zooming In With Full Hand
122223;No gesture
19027;Swiping Right
21994;No gesture
88636;No gesture
46304;Swiping Right
36594;Zooming Out With Full Hand
126339;Thumb Up
137307;Thumb Down
94890;Swiping Right
75359;Thumb Down
105625;Thumb Up
64979;Zooming Out With Full Hand
90212;Zooming In With Full Hand
48606;Swiping Left
99654;Thumb Down
83946;Swiping Left
106119;Zooming In With Full Hand
81901;Thumb Up
5589;Swiping Left
123323;Zooming Out With Full Hand
147060;Swiping Right
61165;Zooming Out With Full Hand
54259;No gesture
8170;Zooming Out With Full Hand
98732;Thumb Down
95419;Thumb Up
12228;Zooming In With Full Hand
136093;Swiping Left
12058;Swiping Left
127253;Swiping Right
63280;Zooming Out With Full Hand
97916;No gesture
74133;Zooming Out With Full Hand
92330;Zooming In With Full Hand
11769;Thumb Down
94141;Swiping Right
113918;Zooming In With Full Hand
135386;Thumb Down
2259;No gesture
8398;No gesture
4475;Thumb Up
47047;Thumb Down
56219;Thumb Up
1635;Swiping Right
138155;No gesture
89280;No gesture
36887;Swiping Right
142858;Swiping Left
91369;Thumb Down
132616;Thumb Up
14133;Thumb Down
11342;Zooming In With Full Hand
13678;Thumb Down
77003;Zooming Out With Full Hand
144289;Zooming In With Full Hand
54517;Swiping Left
140067;No gesture
100584;Zooming Out With Full Hand
75933;Thumb Up
6858;No gesture
7792;Swiping Right
24183;Zooming In With Full Hand
75473;Zooming In With Full Hand
33989;Swiping Left
2015;Thumb Up
27990;Zooming Out With Full Hand
81777;Zooming Out With Full Hand
125897;Swiping Right
89317;Thumb Up
86413;Thumb Down
147313;Swiping Left
100915;Zooming Out With Full Hand
51530;Zooming In With Full Hand
104351;Swiping Right
100144;Swiping Right
140383;Swiping Left
66360;Thumb Up
137332;Swiping Right
2197;Zooming Out With Full Hand
34390;Thumb Up
81444;Swiping Right
57038;Thumb Down
94742;Zooming Out With Full Hand
4508;No gesture
25643;Zooming In With Full Hand
109661;Zooming Out With Full Hand
127290;No gesture
80791;Swiping Right
85896;Swiping Left
71362;Thumb Down
51935;Zooming In With Full Hand
142851;Thumb Down
94288;Swiping Left
121315;Thumb Up
46933;Swiping Right
114044;Zooming Out With Full Hand
56083;Thumb Down
33862;Zooming In With Full Hand
33360;No gesture
98940;Thumb Up
4255;Swiping Left
143531;Thumb Down
24503;Zooming Out With Full Hand
91023;Swiping Right
109682;No gesture
114463;Zooming Out With Full Hand
14024;No gesture
87394;No gesture
103648;No gesture
147647;Swiping Right
98075;Thumb Down
94158;Zooming Out With Full Hand
17632;Zooming Out With Full Hand
90779;Thumb Up
35133;Zooming Out With Full Hand
55470;Zooming In With Full Hand
43280;No gesture
23237;Thumb Up
116109;Thumb Down
13608;No gesture
55934;Swiping Right
51043;Zooming Out With Full Hand
85893;Swiping Right
6557;No gesture
87202;Swiping Right
135468;Zooming Out With Full Hand
68325;Thumb Up
434;Thumb Down
121922;Swiping Left
118257;Zooming In With Full Hand
50713;Swiping Right
114278;Thumb Up
111695;Zooming Out With Full Hand
6965;No gesture
41578;Thumb Up
96775;Zooming In With Full Hand
25435;No gesture
105138;No gesture
72060;Thumb Down
100899;No gesture
75656;Zooming Out With Full Hand
30342;Swiping Right
121021;Zooming In With Full Hand
134480;Swiping Right
35984;Zooming Out With Full Hand
117357;Thumb Down
135676;Thumb Down
74961;Swiping Right
85396;Zooming Out With Full Hand
147639;Thumb Up
52417;No gesture
132042;Zooming Out With Full Hand
39840;Swiping Left
14986;Swiping Right
75734;Swiping Right
12260;Thumb Up
129700;Zooming In With Full Hand
129055;Thumb Up
110284;Swiping Left
109114;Swiping Left
119488;Swiping Right
41424;Zooming In With Full Hand
85071;Thumb Down
117026;Swiping Left
82235;Zooming Out With Full Hand
111551;Thumb Up
104259;No gesture
143617;Thumb Down
143289;Zooming In With Full Hand
54732;Thumb Down
50503;Swiping Left
22303;Zooming In With Full Hand
17896;Thumb Up
84634;Swiping Right
60076;Zooming Out With Full Hand
87978;Zooming In With Full Hand
73527;Swiping Left
99753;Thumb Up
130366;Thumb Up
115200;Swiping Left
93601;Thumb Up
9872;Swiping Right
29798;Swiping Left
91081;No gesture
93549;Zooming Out With Full Hand
49664;Swiping Right
143941;Thumb Up
104729;No gesture
15308;Swiping Left
81392;No gesture
22344;Swiping Right
71231;Swiping Right
16015;Zooming In With Full Hand
79286;Zooming Out With Full Hand
6291;Thumb Down
